Hall,Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1
off,off,off,off,off,off,on,78,76,36,78,76,36,62,62,24,62,62,24
off,off,off,off,off,on,on,78,76,36,78,76,36,62,62,24,62,62,24
off,off,off,off,on,off,on,78,76,36,78,76,36,62,62,24,62,62,24
off,off,off,off,on,on,on,60,60,36,78,76,36,60,60,24,60,60,24
off,off,off,on,off,off,on,78,76,36,78,76,36,62,62,24,62,62,24
off,off,off,on,off,on,on,60,60,36,78,76,36,60,60,24,60,60,24
off,off,off,on,on,off,on,78,76,36,78,76,36,62,62,24,62,62,24
off,off,off,on,on,on,on,60,60,36,78,76,36,60,60,24,60,60,24
off,off,on,off,off,off,on,78,76,36,78,76,36,62,62,24,62,62,24
off,off,on,off,off,on,on,78,76,36,78,76,36,62,62,24,62,62,24
off,off,on,off,on,off,on,78,76,36,78,76,36,62,62,24,62,62,24
off,off,on,off,on,on,on,60,60,36,78,76,36,60,60,24,60,60,24
off,off,on,on,off,off,on,78,76,36,78,76,36,62,62,24,62,62,24
off,off,on,on,off,on,on,60,60,36,78,76,36,60,60,24,60,60,24
off,off,on,on,on,off,on,78,76,36,78,76,36,62,62,24,62,62,24
off,off,on,on,on,on,on,60,60,36,78,76,36,60,60,24,60,60,24
off,on,off,off,off,off,any,78,76,36,78,76,36,62,62,24,62,62,24
off,on,off,off,off,on,any,78,76,36,78,76,36,62,62,24,62,62,24
off,on,off,off,on,off,any,78,76,36,78,76,36,62,62,24,62,62,24
off,on,off,off,on,on,any,60,60,36,78,76,36,60,60,24,60,60,24
off,on,off,on,off,off,any,78,76,36,78,76,36,62,62,24,62,62,24
off,on,off,on,off,on,any,60,60,36,78,76,36,60,60,24,60,60,24
off,on,off,on,on,off,any,78,76,36,78,76,36,62,62,24,62,62,24
off,on,off,on,on,on,any,60,60,36,78,76,36,60,60,24,60,60,24
off,on,on,off,off,off,any,78,76,36,78,76,36,62,62,24,62,62,24
off,on,on,off,off,on,any,78,76,36,78,76,36,62,62,24,62,62,24
off,on,on,off,on,off,any,78,76,36,78,76,36,62,62,24,62,62,24
off,on,on,off,on,on,any,60,60,36,78,76,36,60,60,24,60,60,24
off,on,on,on,off,off,any,78,76,36,78,76,36,62,62,24,62,62,24
off,on,on,on,off,on,any,60,60,36,78,76,36,60,60,24,60,60,24
off,on,on,on,on,off,any,78,76,36,78,76,36,62,62,24,62,62,24
off,on,on,on,on,on,any,60,60,36,78,76,36,60,60,24,60,60,24
off,off,any,any,any,any,off,78,76,36,78,76,36,62,62,24,62,62,24
on,off,off,off,off,off,on,78,76,36,78,76,36,62,62,24,62,62,24
on,off,off,off,off,on,on,78,76,36,78,76,36,62,62,24,62,62,24
on,off,off,off,on,off,on,78,76,36,78,76,36,62,62,24,62,62,24
on,off,off,off,on,on,on,62,62,36,72,72,36,60,60,24,60,60,24
on,off,off,on,off,off,on,78,76,36,78,76,36,62,62,24,62,62,24
on,off,off,on,off,on,on,62,62,36,72,72,36,60,60,24,60,60,24
on,off,off,on,on,off,on,78,76,36,78,76,36,62,62,24,62,62,24
on,off,off,on,on,on,on,62,62,36,72,72,36,60,60,24,60,60,24
on,off,on,off,off,off,on,78,76,36,78,76,36,62,62,24,62,62,24
on,off,on,off,off,on,on,78,76,36,78,76,36,62,62,24,62,62,24
on,off,on,off,on,off,on,78,76,36,78,76,36,62,62,24,62,62,24
on,off,on,off,on,on,on,62,62,36,72,72,36,60,60,24,60,60,24
on,off,on,on,off,off,on,78,76,36,78,76,36,62,62,24,62,62,24
on,off,on,on,off,on,on,62,62,36,72,72,36,60,60,24,60,60,24
on,off,on,on,on,off,on,78,76,36,78,76,36,62,62,24,62,62,24
on,off,on,on,on,on,on,62,62,36,72,72,36,60,60,24,60,60,24
on,on,off,off,off,off,any,78,76,36,78,76,36,62,62,24,62,62,24
on,on,off,off,off,on,any,78,76,36,78,76,36,62,62,24,62,62,24
on,on,off,off,on,off,any,78,76,36,78,76,36,62,62,24,62,62,24
on,on,off,off,on,on,any,62,62,36,72,72,36,60,60,24,60,60,24
on,on,off,on,off,off,any,78,76,36,78,76,36,62,62,24,62,62,24
on,on,off,on,off,on,any,62,62,36,72,72,36,60,60,24,60,60,24
on,on,off,on,on,off,any,78,76,36,78,76,36,62,62,24,62,62,24
on,on,off,on,on,on,any,62,62,36,72,72,36,60,60,24,60,60,24
on,on,on,off,off,off,any,78,76,36,78,76,36,62,62,24,62,62,24
on,on,on,off,off,on,any,78,76,36,78,76,36,62,62,24,62,62,24
on,on,on,off,on,off,any,78,76,36,78,76,36,62,62,24,62,62,24
on,on,on,off,on,on,any,62,62,36,72,72,36,60,60,24,60,60,24
on,on,on,on,off,off,any,78,76,36,78,76,36,62,62,24,62,62,24
on,on,on,on,off,on,any,62,62,36,72,72,36,60,60,24,60,60,24
on,on,on,on,on,off,any,78,76,36,78,76,36,62,62,24,62,62,24
on,on,on,on,on,on,any,62,62,36,72,72,36,60,60,24,60,60,24
on,off,any,any,any,any,off,78,76,36,78,76,36,62,62,24,62,62,24
